scopus_id,doi,title,journal,publication_year,keywords,abstract,llm_policy_claim
SCOPUS_ID:84907339427,10.1016/j.ypmed.2014.07.019,"Multilevel evaluation of 'China Healthy Lifestyles for All', a nationwide initiative to promote lower intakes of salt and edible oil",Preventive Medicine,2014,China; Edible oil; Geographic variations; Health literacy; Multilevel modelling; Preventive health; Salt,"Objective: To evaluate the impact of 'China Healthy Lifestyle for All' on levels of knowledge, taste and intentions to modify future consumption of salt and edible oil. Methods: Between May and August 2012, a face-to-face survey carried out in all 31 provinces, autonomous regions, and municipalities in mainland China, achieved a 98.1% response. Intention-To-Treat analysis via multilevel logistic regression was used to examine differences in outcomes between 31,396 non-institutionalised individuals aged >18. years from 31 'intervention' (i.e. participating) and 26 'control' (i.e. non-participating) counties respectively. Results: Adjusting for socioeconomic confounders, participants in 'intervention' counties were more likely to know the limit of salt (Odds Ratio 3.14, 95% Confidence Interval (95% CI) 1.98, 4.96) and oil consumption (3.67, 95% CI 2.31, 5.82), and were more intent to modify their consumption (salt 1.98, 95% CI 1.41, 2.76; oil OR 1.99, 95% CI 1.41, 2.81) and to report a change in taste (salt 1.90, 95% CI 1.31, 2.75; oil 2.07, 95% CI 1.38, 3.10). 'Intervention' effects were consistent regardless of income or education, but women and older participants benefited disproportionately. Outcomes were 2.8 and 4.7 times more likely among those with better recall. Conclusion: Place-based health promotion interventions have an important role to play in addressing non-communicable disease in China. © 2014 Elsevier Inc.",True
SCOPUS_ID:85017184849,10.1093/ije/dyw314,Triangulation in aetiological epidemiology,International Journal Of Epidemiology,2016,Negative control studies; Aetiological epidemiology; Causality; Instrumental variables; Mendelian randomization; Natural experiments; RCTs; Triangulation; Within-sibships studies,"Triangulation is the practice of obtaining more reliable answers to research questions through integrating results from several different approaches, where each approach has different key sources of potential bias that are unrelated to each other. With respect to causal questions in aetiological epidemiology, if the results of different approaches all point to the same conclusion, this strengthens confidence in the finding. This is particularly the case when the key sources of bias of some of the approaches would predict that findings would point in opposite directions if they were due to such biases. Where there are inconsistencies, understanding the key sources of bias of each approach can help to identify what further research is required to address the causal question. The aim of this paper is to illustrate how triangulation might be used to improve causal inference in aetiological epidemiology. We propose a minimum set of criteria for use in triangulation in aetiological epidemiology, summarize the key sources of bias of several approaches and describe how these might be integrated within a triangulation framework. We emphasize the importance of being explicit about the expected direction of bias within each approach, whenever this is possible, and seeking to identify approaches that would be expected to bias the true causal effect in different directions. We also note the importance, when comparing results, of taking account of differences in the duration and timing of exposures. We provide three examples to illustrate these points.",False
SCOPUS_ID:77958157041,10.1016/j.amepre.2010.07.009,Adoption of policies to treat tobacco dependence in U.S. medical groups,American Journal Of Preventive Medicine,2010,,"Background There remains an ongoing need to reduce tobacco use in the U.S. Physician organizations, such as medical groups, can support healthcare providers to be more effective in their delivery of tobacco cessation by adopting practices recommended in the Public Health Service Clinical Practice Guideline for Treating Tobacco Use and Dependence (PHS Guideline). Purpose To document the extent to which activities to reduce tobacco use, as recommended in the PHS Guideline as system-level interventions, are provided within large medical groups in the U.S. Methods During 20062007, data were collected on 339 medical groups operating in the U.S., with 20 or more physicians treating at least one of four chronic conditions. Organizations were surveyed regarding activities to reduce tobacco use as recommended in the PHS Guideline as system-level interventions (i.e., tobacco-use status documentation, policies to promote provider interventions, and staff dedicated to treating tobacco dependence). Between 2008 and 2009, bivariate associations and multivariate logistic regression models assessed the relationship of organizational characteristics and external incentives with adoption of systems strategies for treating tobacco dependence. Results Nearly 83% of medical groups with 20 or more physicians operating in the U.S. in 20062007 have adopted one or more strategies recommended as effective to support the treatment of tobacco dependence. However, only 5.6% of medical groups engage in all eight tobacco control activities examined in this study. The two factors that were associated most consistently with medical group policies to treat tobacco dependence were the patient-centeredness of the organization and participation in a quality demonstration program. Conclusions There is much room for improvement in increasing medical group adoption of systems strategies to reduce tobacco use. The findings in this paper suggest recommendations to achieve these improvements. © 2010 American Journal of Preventive Medicine.",True
SCOPUS_ID:34548386735,10.1093/eurpub/ckl245,Trends in vigorous physical activity and TV watching of adolescents from 1986 to 2002 in seven European Countries,European Journal Of Public Health,2007,Adolescents; Europe; Physical activity; Trends; TV watching,"Background: The aim is to study trends in physical activity and TV viewing in seven European countries in the period 1985-2002. Methods: The data are collected through questionnaires in the survey 'Health Behaviour in School-aged Children. A WHO Cross-national study', using nationally representative samples of 11-, 13-, and 15-year-olds. Between 1985/86 and 2001/02, a standard set of items was used to measure vigorous physical activity and TV watching in the study. Austria, Finland, Hungary, Norway, Scotland, Sweden, and Wales used these measures in all surveys. Results: Between 1985/86 and 2001/02, there was a slight increase in Finland in the proportions reporting vigorous physical activity 4 or more times a week, whereas as pattern of stability was observed for the other countries. Across all surveys and countries boys were more likely to report regular vigorous physical activity than girls. No clear pattern emerges when examining trends over time in TV watching. Boys reported spending more time watching TV than girls in all countries. The correlation between the two behaviours at the 1986 and 1998 measurement points was non-significant. Conclusion: The finding that boys were more likely to report regular vigorous physical activity and TV watching confirms results of previous studies. The present study of seven European countries generally indicates stability or a small increase in physical activity of boys and girls aged 11-15 from the mid-1980s to the early 2000s. © 2006. The Author(s).",False
SCOPUS_ID:0032794564,10.1097/00001648-199909000-00011,Menstrual and reproductive factors for salivary gland cancer risk in women,Epidemiology,1999,Menstrual factors; Reproductive factors; Risk factors; Salivary gland cancer; Women,"Several observations suggest that salivary gland cancer may be, in part, a hormonally dependent disease. We examined associations between hormonally mediated life events and salivary gland cancer risk in a population-based case-control study. Of 76 women diagnosed between 1989 and 1993, 63 (83%) were interviewed. Of 111 population controls, 83 (75%) were interviewed. Early menarche (OR = 4.1, 95% CI = 1.4-12.1) and nulliparity (OR = 2.6, 95% CI = 1.0-6.7) were associated with increased risk whereas late age at first full-term pregnancy (OR = 0.19, 95% CI = 0.3-1.2) and longer duration of oral contraceptive use (OR = 0.31, 95% CI = 0.10-1.0) were associated with diminished risk. These findings are consistent with a hormonal component in salivary gland cancer risk.",False
SCOPUS_ID:85061033867,10.1097/ede.0000000000000945,Comparison of Methods for Algorithmic Classification of Dementia Status in the Health and Retirement Study,Epidemiology,2019,Algorithms; Alzheimer's disease; Dementia; Health and Retirement Study,"Dementia ascertainment is time-consuming and costly. Several algorithms use existing data from the US-representative Health and Retirement Study (HRS) to algorithmically identify dementia. However, relative performance of these algorithms remains unknown. Methods: We compared performance across five algorithms (Herzog-Wallace, Langa-Kabeto-Weir, Crimmins, Hurd, Wu) overall and within sociodemographic subgroups in participants in HRS and Wave A of the Aging, Demographics, and Memory Study (ADAMS, 2000-2002), an HRS substudy including in-person dementia ascertainment. We then compared algorithmic performance in an internal (time-split) validation dataset including participants of HRS and ADAMS Waves B, C, and/or D (2002-2009). Results: In the unweighted training data, sensitivity ranged from 53% to 90%, specificity ranged from 79% to 97%, and overall accuracy ranged from 81% to 87%. Though sensitivity was lower in the unweighted validation data (range: 18%-62%), overall accuracy was similar (range: 79%-88%) due to higher specificities (range: 82%-98%). In analyses weighted to represent the age-eligible US population, accuracy ranged from 91% to 94% in the training data and 87% to 94% in the validation data. Using a 0.5 probability cutoff, Crimmins maximized sensitivity, Herzog-Wallace maximized specificity, and Wu and Hurd maximized accuracy. Accuracy was higher among younger, highly-educated, and non-Hispanic white participants versus their complements in both weighted and unweighted analyses. Conclusion: Algorithmic diagnoses provide a cost-effective way to conduct dementia research. However, naïve use of existing algorithms in disparities or risk factor research may induce nonconservative bias. Algorithms with more comparable performance across relevant subgroups are needed.",False
SCOPUS_ID:0025975542,10.2105/ajph.81.1.101,The status of restrictive smoking policies: A survey of medical schools in the United States and Canada,American Journal Of Public Health,1991,,"All schools of medicine in the United States (N = 128) and Canada (N = 16) were surveyed by telephone to determine if they had instituted policies to restrict smoking. Some policy restricting smoking was reported by 80.56 percent of US schools (N = 103) and by 93.8 percent of Canadian schools (N = 15). However, only 52.3 percent of US (N = 67) and 56.3 percent of Canadian medical schools (N = 9) indicated they had formal written policy statements. Only 13 percent of US schools and 19 percent of Canadian schools had banned smoking totally.",False
SCOPUS_ID:85138127378,10.1016/j.ypmed.2022.107223,Rural and urban disparities in potentially preventable hospitalizations among US patients with Alzheimer's Disease and Related Dementias: Evidence of hospital-based telehealth and enabling services,Preventive Medicine,2022,Alzheimer's disease and related dementias; Enabling services; Preventable hospitalizations; Telehealth,"We examined urban and rural disparities in potentially preventable hospitalizations (PPHs) among US patients with Alzheimer's Disease and Related Dementias (ADRD) and the use of telehealth post-discharge and enabling services as mediators. We merged 2017 100% Medicare Fee-For-Service (FFS) claims with the Medicare Beneficiary Summary File, along with population and hospital-based characteristics. Logistic regression models were employed to examine differences in PPHs by telehealth and enabling services. The rates of PPHs related to acute and chronic conditions for patients with ADRD living in rural and micropolitan areas were significantly higher compared to patients with ADRD in urban areas. Telehealth post-discharge combined with enabling services significantly decreased the odds of PPHs associated with acute (OR: 0.93, 95% CI: 0.89–0.98, P-value <0.01) and chronic conditions (OR: 0.96, 95% CI: 0.92–1.00, P-value = 0.07). In addition, telehealth post-discharge combined with enabling services significantly decreased the odds of PPHs in patients with ADRD in rural (acute PPHs OR: 0.56, 95% CI: 0.41–0.77, P-value <0.01; chronic PPHs OR: 0.73, 95% CI: 0.55–0.97, P-value = 0.03) and micropolitan (acute PPHs OR: 0.65, 95% CI: 0.57–0.73, P-value <0.01; chronic PPHs OR: 0.83, 95% CI: 0.74–0.93, P-value <0.01) areas. Our results suggest that the combinations of telehealth post-discharge and enabling services are important interventions in helping to reduce preventable hospitalizations among patients with ADRD living in rural and micropolitan areas.",False
SCOPUS_ID:85026467281,10.1093/eurpub/ckx042,Whether people believe that overweight is unhealthy depends on their BMI,European Journal Of Public Health,2017,,An online experiment with 536 participants was conducted to investigate how people who differ in body weight perceive scientific information on body weight and mortality. The results showed that individuals who were aware that they are overweight were more inclined to trust a study that showed that overweight reduces mortality (P < 0.001). This finding is relevant as the BMI-mortality association remains a matter of scientific and public debate and people's risk perceptions influences their willingness to change behaviour.,False
SCOPUS_ID:0034049918,10.1006/pmed.2000.0665,Total Quality Leadership in the U.S. Navy: Effective for health promotion activities?,Preventive Medicine,2000,Disease prevention; Health survey; Military; Navy; Total Quality Leadership; Worksite health promotion,"Background. Although the U.S. Navy mandated Total Quality Leadership (TQL) as a management strategy throughout its medical department in the early 1990s, it was unknown to what extent it was being used for health promotion activities and, if so, how effectively. Methods. A brief mail survey of 204 Navy commands supplemented by 97 telephone interviews to TQL-for-health- promotion-using commands and nonusing controls provided worksite information on TQL implementation. Responses from a Navywide health and fitness survey provided perceptions and health behavior attitudes from the individuals at commands. Results. A total of 32% of commands surveyed had used TQL specifically for improving health- and fitness-related processes and outcomes between 1991 and 1995. Participants at commands that had used TQL for health- and fitness-related processes reported a higher importance of good health (P < 0.05) and were more certain that they would reach and or maintain their ideal weight (P < 0.05) than participants at non-TQL commands. However, there were no significant differences in perceptions of command support for health and fitness between TQL and non-TQL commands. Conclusions. Several factors and organizational arrangements that were pertinent to the development and practice of TQL in the Navy were identified. The use of TQL specifically for health promotion was not consistently related to health-related perceptions or health behavior attitudes.",False
SCOPUS_ID:77952306138,10.1093/ije/dyp229,"Resting heart rate and blood pressure, independent of each other, proportionally raise the risk for type-2 diabetes mellitus",International Journal Of Epidemiology,2010,Blood pressure; Diabetes; Follow-up study; Heart rate; Risk factors,"Background: Fast heart rate and high blood pressure (BP) at rest may raise risk for the development of type-2 diabetes mellitus (DM). We therefore investigated dose-response and interactive effects of resting heart rate and BP on the incidence of DM in a Japanese population. Methods: A follow-up study was conducted for 16 828 men and 8368 women aged 30-59 years and apparently healthy at baseline. Incident DM was identified by 'fasting serum glucose >7.00 mmol/l (126 mg/dl)' or/and 'under medical treatment for DM'. Using Cox proportional hazard models, hazard ratio (HR) for incident DM were estimated according to the quartiles of heart rate, systolic or diastolic BP (SBP, DBP), and its linear trends were checked by computing the three indices as continuous variables. Subsequently, interactive effects of slow/fast heart rate (dichotomized by the median) and low/high SBP or DBP (dichotomized by the median) on HR were examined. Baseline age, body mass index, smoking, drinking, exercise and education were computed as conventional confounders. Results: During the follow-up of 125 106 person-years for men and 59 616 person-years for women, 869 men and 224 women developed DM. The multivariate-adjusted HR for incident DM increased across quartiles of heart rate, SBP and DBP in both sexes (linear trend P<0.001 for all). Neither sex showed any significant interactive effects of heart rate and SBP or DBP on HR. Conclusions: Resting heart rate and BP proportionally raise the risk for DM in middle-aged healthy men and women. Moreover, the adverse effects of fast heart rate and high BP are independent of each other as well as of the influences of conventional confounders. © The Author 2009; all rights reserved. Published by Oxford University Press on behalf of the International Epidemiological Association.",False
SCOPUS_ID:0031863645,10.1023/a:1007427925583,Prevalence of bovine verotoxin-producing Escherichia coli in Argentina,European Journal Of Epidemiology,1998,Cattle; Escherichia coli; Intimin; Shiga-like toxins; Verotoxins,"Faecal swabs obtained from 126 calves and 118 cows in Argentina were investigated for the presence of verotoxin-producing Escherichia coli (VTEC). VTEC strains were recovered from 10 (23%) of 43 calves with diarrhoea, from 24 (29%) of 83 healthy calves, from 40 (44%) of 91 healthy cows waiting at the slaughterhouse, and from 6 (22%) of 27 healthy grazing cattle. PCR showed that 21 (9%) of animals carried VT1+ strains, 49 (20%) VT2+ strains and 10 (4%) VT1+ VT2+ strains. VT1+ strains predominated among calves (16% versus 0.8%; p < 0.001). The presence of eae gene was significantly more frequent among VTEC strains isolated from calves (78%; 46/59) than from cows (2%; 1/65) (p < 0.001). Furthermore, eae gene was more prevalent in VT1+ strains (97%; 32/33) than in VT2+ strains (14%; 10/70) (p < 0.001) and in VT1+ VT2+ strains (24%; 5/21) (p < 0.001). Sorbitol negative high virulent strains sero-groups O157 were not detected. This study indicates that cattle are a reservoir of VTEC strains, and that eae gene is associated with VT1+ strains that are predominating among young animals. Fortunately, only adult animals are taken to the slaughterhouse, among which VTEC strains negative for eae gen are predominating.",False
SCOPUS_ID:0006096230,10.1093/eurpub/3.4.290,A case-control assessment of risk factors for Haemophilus influenzae type b meningitis,European Journal Of Public Health,1993,Children; Haemophilis influenzae type b; Meningitis; Risk factors,"A matched-pair comparison of 50 cases of Haemophilis influenzae type b meningitis and healthy controls in Seattle, Washington, USA identified daycare attendance as a significant risk factor (0.01-3 eight hour days per week, OR=2.69; >3 eight hour days per week, OR=4.72) and breast-feeding (1-9 months OR=0.38; >9 months OR=0.12) as protective against this disease. In view of lack of accessibility of the new efficacious vaccine to some populations, awareness of the risk factors for this disease is still important for the development of alternative health care strategies. © 1993 European Journal of Public Health.",False
SCOPUS_ID:85184817755,10.1016/j.ypmed.2024.107892,"Identifying overlaps and disconnects between media reports and official records of nonfatal firearm injuries in Indianapolis, Indiana, 2021–2022",Preventive Medicine,2024,Communities; Data linkage; Firearm injuries; Media; Structural disadvantage,"Objective: Open-source data systems, largely drawn from media sources, are commonly used by scholars due to the lack of a comprehensive national data system. It is unclear if these data provide an accurate and complete representation of firearm injuries and their context. The study objectives were to compare firearm injuries in official police records with media reports to better identify the characteristics associated with media reporting. Methods: Firearm injuries were identified in open-source media reports and compared to nonfatal firearm injury (n = 1642) data from official police records between January 1, 2021 to December 31, 2022 in Indianapolis, Indiana. Events were matched on date, location, and event circumstances. Four multivariate, multi-level mixed effects logistic regression models were conducted to assess which survivor, event, and community characteristics were associated with media reporting. Data were analyzed 2023 – January 2024. Results: Media reported 41% of nonfatal shootings in 2021 and 45% in 2022(p < 0.05), which is approximately two out of every five shootings. Shootings involving multiple survivors, children, and self-defense were more likely to be reported, whereas unintentional shootings and shootings that occurred in structurally disadvantaged communities were less likely to be reported. Conclusions: Findings suggest that relying on media reports of firearm injuries alone may misrepresent the numbers and contexts of shootings. Public health interventions that educate journalists about these important issues may be an impactful firearm violence prevention strategy. Also, it is critical to link data systems at the local level to ensure interventions are designed and evaluated using accurate data.",True
